"full_name","born","died","born_country","born_country_code","died_country","died_country_code","gender","year","category","motivation","organization_name","organization_city","organization_country","winning_age","organization_name_standard"
"James M. Buchanan Jr.","1919-10-03","2013-01-09","USA","US","USA","US","male",1986,"Economics","""for his development of the contractual and constitutional bases for the theory of economic and political decision-making""","Center for Study of Public Choice","Fairfax VA","USA",67,"Center for Study of Public Choice"
"Herbert Kroemer","1928-08-25",NULL,"Germany","DE",NULL,NULL,"male",2000,"Physics","""for developing semiconductor heterostructures used in high-speed- and opto-electronics""","University of California","Santa Barbara CA","USA",72,"University of California"
"Tim Hunt","1943-02-19",NULL,"United Kingdom","GB",NULL,NULL,"male",2001,"Medicine","""for their discoveries of key regulators of the cell cycle""","Imperial Cancer Research Fund","London","United Kingdom",58,"Imperial Cancer Research Fund"
"Melvin Schwartz","1932-11-02","2006-08-28","USA","US","USA","US","male",1988,"Physics","""for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino""","Digital Pathways Inc.","Mountain View CA","USA",56,"Digital Pathways Inc."
"Jerome I. Friedman","1930-03-28",NULL,"USA","US",NULL,NULL,"male",1990,"Physics","""for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons which have been of essential importance for the development of the quark model in particle physics""","Massachusetts Institute of Technology (MIT)","Cambridge MA","USA",60,"Massachusetts Institute of Technology (MIT)"
"Francis W. Aston","1877-09-01","1945-11-20","United Kingdom","GB","United Kingdom","GB","male",1922,"Chemistry","""for his discovery by means of his mass spectrograph of isotopes in a large number of non-radioactive elements and for his enunciation of the whole-number rule""","University of Cambridge","Cambridge","United Kingdom",45,"University of Cambridge"
"Louis de Broglie","1892-08-15","1987-03-19","France","FR","France","FR","male",1929,"Physics","""for his discovery of the wave nature of electrons""","Sorbonne University Institut Henri Poincaré","Paris","France",37,"Sorbonne University Institut Henri Poincaré"
"Carl D. Anderson","1905-09-03","1991-01-11","USA","US","USA","US","male",1936,"Physics","""for his discovery of the positron""","California Institute of Technology (Caltech)","Pasadena CA","USA",31,"California Institute of Technology (Caltech)"
"Leymah Gbowee","1972-02-01",NULL,"Liberia","LR",NULL,NULL,"female",2011,"Peace","""for their non-violent struggle for the safety of women and for women's rights to full participation in peace-building work""",NULL,NULL,NULL,39,NULL
"Martin Karplus","1930-03-15",NULL,"Austria","AT",NULL,NULL,"male",2013,"Chemistry","""for the development of multiscale models for complex chemical systems""","Université de Strasbourg","Strasbourg","France",83,"Université de Strasbourg"
"Lord Todd","1907-10-02","1997-01-10","Scotland","GB","United Kingdom","GB","male",1957,"Chemistry","""for his work on nucleotides and nucleotide co-enzymes""","University of Cambridge","Cambridge","United Kingdom",50,"University of Cambridge"
"John Cornforth","1917-09-07","2013-12-08","Australia","AU",NULL,NULL,"male",1975,"Chemistry","""for his work on the stereochemistry of enzyme-catalyzed reactions""","University of Sussex","Brighton","United Kingdom",58,"University of Sussex"
"Herbert C. Brown","1912-05-22","2004-12-19","United Kingdom","GB","USA","US","male",1979,"Chemistry","""for their development of the use of boron- and phosphorus-containing compounds respectively into important reagents in organic synthesis""","Purdue University","West Lafayette IN","USA",67,"Purdue University"
"Julius Wagner-Jauregg","1857-03-07","1940-09-27","Austria","AT","Austria","AT","male",1927,"Medicine","""for his discovery of the therapeutic value of malaria inoculation in the treatment of dementia paralytica""","Vienna University","Vienna","Austria",70,"Vienna University"
"Karl Landsteiner","1868-06-14","1943-06-26","Austrian Empire (now Austria)","AT","USA","US","male",1930,"Medicine","""for his discovery of human blood groups""","Rockefeller Institute for Medical Research","New York NY","USA",62,"Rockefeller Institute for Medical Research"
"Gerhard Domagk","1895-10-30","1964-04-24","Germany (now Poland)","PL","West Germany (now Germany)","DE","male",1939,"Medicine","""for the discovery of the antibacterial effects of prontosil""","Munster University","Munster","Germany",44,"Munster University"
"André Lwoff","1902-05-08","1994-09-30","France","FR","France","FR","male",1965,"Medicine","""for their discoveries concerning genetic control of enzyme and virus synthesis""","Institut Pasteur","Paris","France",63,"Institut Pasteur"
"Albert Einstein","1879-03-14","1955-04-18","Germany","DE","USA","US","male",1921,"Physics","""for his services to Theoretical Physics and especially for his discovery of the law of the photoelectric effect""","Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Physik","Berlin","Germany",42,"Max Planck Society"
"Horst L. Störmer","1949-04-06",NULL,"West Germany (now Germany)","DE",NULL,NULL,"male",1998,"Physics","""for their discovery of a new form of quantum fluid with fractionally charged excitations""","Columbia University","New York NY","USA",49,"Columbia University"
"Paul Berg","1926-06-30","2023-02-15","USA","US","USA","US","male",1980,"Chemistry","""for his fundamental studies of the biochemistry of nucleic acids with particular regard to recombinant-DNA""","Stanford University","Stanford CA","USA",54,"Stanford University"
"Johann Deisenhofer","1943-09-30",NULL,"Germany","DE",NULL,NULL,"male",1988,"Chemistry","""for the determination of the three-dimensional structure of a photosynthetic reaction centre""","University of Texas Southwestern Medical Center at Dallas","Dallas TX","USA",45,"University of Texas"
"D. Carleton Gajdusek","1923-09-09","2008-12-12","USA","US","Norway","NO","male",1976,"Medicine","""for their discoveries concerning new mechanisms for the origin and dissemination of infectious diseases""","National Institutes of Health","Bethesda MD","USA",53,"National Institutes of Health"
"Sune K. Bergström","1916-01-10","2004-08-15","Sweden","SE","Sweden","SE","male",1982,"Medicine","""for their discoveries concerning prostaglandins and related biologically active substances""","Karolinska Institutet","Stockholm","Sweden",66,"Karolinska Institutet"
"Bengt Holmström","1949-04-18",NULL,"Finland","FI",NULL,NULL,"male",2016,"Economics","""for their contributions to contract theory""","Massachusetts Institute of Technology (MIT)","Cambridge MA","USA",67,"Massachusetts Institute of Technology (MIT)"
"Theodore Roosevelt","1858-10-27","1919-01-06","USA","US","USA","US","male",1906,"Peace","""for his role in bringing to an end the bloody war recently waged between two of the world's great powers Japan and Russia""",NULL,NULL,NULL,48,NULL
"Il´ja M. Frank","1908-10-23","1990-06-22","Russia","RU","USSR (now Russia)","RU","male",1958,"Physics","""for the discovery and the interpretation of the Cherenkov effect""","Lomonosov Moscow State University","Moscow","USSR (now Russia)",50,"Lomonosov Moscow State University"
"Carlos Saavedra Lamas","1878-11-01","1959-05-05","Argentina","AR","Argentina","AR","male",1936,"Peace","""for his role as father of the Argentine Antiwar Pact of 1933 which he also used as a means to mediate peace between Paraguay and Bolivia in 1935""",NULL,NULL,NULL,58,NULL
"Emily Greene Balch","1867-01-08","1961-01-09","USA","US","USA","US","female",1946,"Peace","""for her lifelong work for the cause of peace""",NULL,NULL,NULL,79,NULL
"Office of the United Nations High Commissioner for Refugees","1950-12-14",NULL,NULL,NULL,NULL,NULL,"org",1954,"Peace","""for its efforts to heal the wounds of war by providing help and protection to refugees all over the world""",NULL,NULL,NULL,4,NULL
"Georges Pire","1910-02-10","1969-01-30","Belgium","BE","Belgium","BE","male",1958,"Peace","""for his efforts to help refugees to leave their camps and return to a life of freedom and dignity""",NULL,NULL,NULL,48,NULL
"Jody Williams","1950-10-09",NULL,"USA","US",NULL,NULL,"female",1997,"Peace","""for their work for the banning and clearing of anti-personnel mines""",NULL,NULL,NULL,47,NULL
"Sigrid Undset","1882-05-20","1949-06-10","Denmark","DK","Norway","NO","female",1928,"Literature","""principally for her powerful descriptions of Northern life during the Middle Ages""",NULL,NULL,NULL,46,NULL
"William Faulkner","1897-09-25","1962-07-06","USA","US","USA","US","male",1949,"Literature","""for his powerful and artistically unique contribution to the modern American novel""",NULL,NULL,NULL,52,NULL
"Theodore W. Schultz","1902-04-30","1998-02-26","USA","US","USA","US","male",1979,"Economics","""for their pioneering research into economic development research with particular consideration of the problems of developing countries""","University of Chicago","Chicago IL","USA",77,"University of Chicago"
"Merton H. Miller","1923-05-16","2000-06-03","USA","US","USA","US","male",1990,"Economics","""for their pioneering work in the theory of financial economics""","University of Chicago","Chicago IL","USA",67,"University of Chicago"
"Ernesto Teodoro Moneta","1833-09-20","1918-02-10","Austrian Empire (now Italy)","IT","Italy","IT","male",1907,"Peace","""for his work in the press and in peace meetings both public and private for an understanding between France and Italy""",NULL,NULL,NULL,74,NULL
"Nansen International Office for Refugees",NULL,NULL,NULL,NULL,NULL,NULL,"org",1938,"Peace","""for having carried on the work of Fridtjof Nansen to the benefit of refugees across Europe""",NULL,NULL,NULL,NULL,NULL
"Aung San Suu Kyi","1945-06-19",NULL,"Burma (now Myanmar)","MM",NULL,NULL,"female",1991,"Peace","""for her non-violent struggle for democracy and human rights""",NULL,NULL,NULL,46,NULL
"Frédéric Mistral","1830-09-08","1914-03-25","France","FR","France","FR","male",1904,"Literature","""in recognition of the fresh originality and true inspiration of his poetic production which faithfully reflects the natural scenery and native spirit of his people and in addition his significant work as a Proven&ccedil;al philologist""",NULL,NULL,NULL,74,NULL
"Maurice Maeterlinck","1862-08-29","1949-05-06","Belgium","BE","France","FR","male",1911,"Literature","""in appreciation of his many-sided literary activities and especially of his dramatic works which are distinguished by a wealth of imagination and by a poetic fancy which reveals sometimes in the guise of a fairy tale a deep inspiration while in a mysterious way they appeal to the readers' own feelings and stimulate their imaginations""",NULL,NULL,NULL,49,NULL
"Romain Rolland","1866-01-29","1944-12-30","France","FR","France","FR","male",1915,"Literature","""as a tribute to the lofty idealism of his literary production and to the sympathy and love of truth with which he has described different types of human beings""",NULL,NULL,NULL,49,NULL
"Pearl Buck","1892-06-26","1973-03-06","USA","US","USA","US","female",1938,"Literature","""for her rich and truly epic descriptions of peasant life in China and for her biographical masterpieces""",NULL,NULL,NULL,46,NULL
"André Gide","1869-11-22","1951-02-19","France","FR","France","FR","male",1947,"Literature","""for his comprehensive and artistically significant writings in which human problems and conditions have been presented with a fearless love of truth and keen psychological insight""",NULL,NULL,NULL,78,NULL
"Joseph Brodsky","1940-05-24","1996-01-28","USSR (now Russia)","RU","USA","US","male",1987,"Literature","""for an all-embracing authorship imbued with clarity of thought and poetic intensity""",NULL,NULL,NULL,47,NULL
"Gunnar Myrdal","1898-12-06","1987-05-17","Sweden","SE","Sweden","SE","male",1974,"Economics","""for their pioneering work in the theory of money and economic fluctuations and for their penetrating analysis of the interdependence of economic social and institutional phenomena""",NULL,NULL,NULL,76,NULL
